(0.9720318069646284, ([1, 3], 25000, 'Xiii'))
(0.9716205100082259, ([1, 3], 25000, 'Xiv'))
(0.9716205100082259, ([1, 2], 25000, 'Xii'))
(0.9714834110227585, ([1, 3], 25000, 'train_X'))
(0.9714834110227585, ([1, 3], 25000, 'Xv'))
(0.9713463120372909, ([1, 3], 25000, 'Xii'))
(0.9713463120372909, ([1, 2], 25000, 'train_X'))
(0.9713463120372909, ([1, 2], 25000, 'Xv'))
(0.9713463120372909, ([1, 2], 25000, 'Xiv'))
(0.9707979160954209, ([1, 2], 25000, 'Xiii'))
(0.9642171647929806, ([2, 2], 25000, 'Xiii'))
(0.9636687688511105, ([1, 3], 5000, 'Xiii'))
(0.9633945708801754, ([2, 2], 25000, 'train_X'))
(0.9633945708801754, ([2, 2], 25000, 'Xv'))
(0.963257471894708, ([2, 2], 25000, 'Xiv'))
(0.9628461749383055, ([2, 3], 25000, 'Xiii'))
(0.9625719769673704, ([2, 2], 25000, 'Xii'))
(0.9621606800109679, ([1, 2], 5000, 'Xiii'))
(0.9614751850836304, ([2, 3], 25000, 'train_X'))
(0.9614751850836304, ([2, 3], 25000, 'Xv'))
(0.9614751850836304, ([2, 3], 25000, 'Xiv'))
(0.9610638881272279, ([2, 3], 25000, 'Xii'))
(0.9610638881272279, ([1, 2], 5000, 'Xii'))
(0.9606525911708254, ([1, 2], 5000, 'train_X'))
(0.9606525911708254, ([1, 2], 5000, 'Xv'))
(0.9606525911708254, ([1, 2], 5000, 'Xiv'))
(0.9603783931998903, ([1, 3], 5000, 'Xii'))
(0.9602412942144228, ([1, 3], 5000, 'train_X'))
(0.9602412942144228, ([1, 3], 5000, 'Xv'))
(0.9602412942144228, ([1, 3], 5000, 'Xiv'))
(0.944063613929257, ([2, 2], 5000, 'Xii'))
(0.9439265149437894, ([2, 2], 5000, 'Xiii'))
(0.9433781190019194, ([2, 3], 5000, 'Xiii'))
(0.9426926240745819, ([2, 2], 5000, 'train_X'))
(0.9426926240745819, ([2, 2], 5000, 'Xv'))
(0.9426926240745819, ([2, 2], 5000, 'Xiv'))
(0.9425555250891143, ([2, 3], 5000, 'Xii'))
(0.9422813271181794, ([1, 3], 25000, 'X_all_tokenized'))
(0.9420071291472443, ([2, 3], 5000, 'train_X'))
(0.9420071291472443, ([2, 3], 5000, 'Xv'))
(0.9417329311763093, ([2, 3], 5000, 'Xiv'))
(0.9398135453797641, ([1, 2], 25000, 'X_all_tokenized'))
(0.9317247052371812, ([1, 3], 25000, 'Xi'))
(0.9317247052371812, ([1, 2], 25000, 'Xi'))
(0.9298053194406362, ([3, 3], 25000, 'train_X'))
(0.9298053194406362, ([3, 3], 25000, 'Xv'))
(0.9298053194406362, ([3, 3], 25000, 'Xii'))
(0.9296682204551686, ([3, 3], 25000, 'Xiv'))
(0.9284343295859611, ([3, 3], 25000, 'Xiii'))
(0.9200712914724432, ([1, 3], 5000, 'X_all_tokenized'))
(0.9197970935015081, ([1, 2], 5000, 'X_all_tokenized'))
(0.9169180148066904, ([2, 3], 25000, 'X_all_tokenized'))
(0.9159583219084179, ([1, 1], 25000, 'Xiii'))
(0.9158212229229503, ([1, 3], 5000, 'Xi'))
(0.9158212229229503, ([1, 1], 5000, 'Xii'))
(0.9152728269810804, ([2, 2], 25000, 'X_all_tokenized'))
(0.9152728269810804, ([1, 1], 5000, 'Xiv'))
(0.9151357279956128, ([1, 1], 5000, 'train_X'))
(0.9151357279956128, ([1, 1], 5000, 'Xv'))
(0.9145873320537428, ([1, 1], 25000, 'Xii'))
(0.9145873320537428, ([1, 1], 5000, 'Xi'))
(0.9144502330682753, ([1, 1], 25000, 'train_X'))
(0.9144502330682753, ([1, 1], 25000, 'Xv'))
(0.9144502330682753, ([1, 1], 25000, 'Xiv'))
(0.9141760350973402, ([1, 1], 5000, 'Xiii'))
(0.9140389361118728, ([1, 2], 5000, 'Xi'))
(0.9125308472717302, ([1, 1], 25000, 'Xi'))
(0.9123937482862626, ([1, 1], 5000, 'X_all_tokenized'))
(0.9119824513298601, ([1, 1], 25000, 'X_all_tokenized'))
(0.9088291746641075, ([2, 3], 25000, 'Xi'))
(0.9082807787222374, ([2, 2], 25000, 'Xi'))
(0.8958047710446942, ([3, 3], 5000, 'Xiv'))
(0.8955305730737593, ([3, 3], 5000, 'train_X'))
(0.8955305730737593, ([3, 3], 5000, 'Xv'))
(0.8925143953934741, ([3, 3], 5000, 'Xiii'))
(0.891143405538799, ([3, 3], 5000, 'Xii'))
(0.8894982177131889, ([2, 3], 5000, 'X_all_tokenized'))
(0.8877159309021113, ([2, 2], 5000, 'X_all_tokenized'))
(0.882231971483411, ([2, 3], 5000, 'Xi'))
(0.8820948724979435, ([2, 2], 5000, 'Xi'))
(0.8509734027968193, ([3, 3], 25000, 'X_all_tokenized'))
(0.8294488620784206, ([3, 3], 25000, 'Xi'))
(0.8072388264326844, ([3, 3], 5000, 'X_all_tokenized'))
(0.7754318618042226, ([3, 3], 5000, 'Xi'))
